type,chapter,section_title,title,text,image,category,accent
intro,1,,はじめに,,,,#7c5cff
item,1,,,"1942年2月3日朝、長生炭鉱の海底坑道の１km沖合の地点で水没事故-水非常と呼ばれる-が起き、183名の坑夫たちがなくなった。
そのうちの７割に及ぶ136名が朝鮮人労働者であった。
事故が起きた際、責任者は「高価な機材を水没から守るため」入口を塞いでしまい、見殺しにされた人々は海の底に放置された。
その後、会社は解散し、陸上の痕跡もほとんどなくなり、跡地にはピーヤと呼ばれる換気用の竪坑が2本残るだけとなっていた。",images/長生炭鉱.jpg,,#7c5cff
item,1,,,"市民団体「長生炭鉱の水非常を歴史に刻む会」は実態解明と遺骨の返還を求めて遺族会と連携し、長年活動を続けてきました。
",images/水非常を歴史に刻む会.jpg,,#7c5cff
item,1,,,市民運動として追悼碑を建造し、全く対応しない政府をおいて、クラウドファンディングを行って水没した坑道の入口を市民の手で発掘し、独自で遺骨収容をする試みをしています。,images/坑口発掘.jpg,,
,,,,,,,
intro,2,,強制連行について,,,,#14b8a6
item,2,,,アジア太平洋地域での戦争の拡大により、日本は多くの朝鮮人を労務や軍務に動員し、強制的に労働させた。労働者として日本の鉱山・炭鉱、軍需工場や軍事基地建設などに70万以上、軍人軍属として動員された人々は30万人以上と見られている。,,,#14b8a7
item,2,,,山口県に動員された朝鮮人は約12万人であり、宇部市の人口の２１％が朝鮮人というような状況にもなっていおり、宇部市の炭鉱全体には常時１万人の朝鮮人が働かされていた。,,,#14b8a6
,,,,,,,
intro,3,,長生炭鉱について,,,,#f59e0b
item,3,,,長生炭鉱は山口県宇部市にあり、1932年に本格的な創業を開始した。全国的にも比較的朝鮮人労働者が多かった山口県の中でもスバ抜けて朝鮮人労働者が多く、75％が朝鮮人労働者であり「朝鮮炭鉱」と呼ばれたほど。累計1258人が長生炭鉱にて働かされた。,,,#f59e0b
